,SMILES String,PC1,PC2,PC3,PC4,PC5,Cluster
Anion_0073,COc1ccc(CC(=O)[O-])cc1OC,1.084252097,2.813322207,-0.195559995,-1.148876675,-0.968321204,5
Anion_0074,O=C([O-])CCc1c[nH+]c2cccc[c-]12,1.000130988,1.514465801,-2.168332975,2.324263425,0.188766675,9
Anion_0075,Cc1ccc(CC(=O)[O-])cc1,1.528910627,1.328047696,-0.47264574,-0.654089025,-1.228351943,5
Anion_0076,O=C([O-])c1c[nH+]c2cccc[c-]12,0.566032719,0.123967538,-1.633251144,-0.980323377,-1.290621909,5
Anion_0077,O=C([O-])CCC(=O)c1ccccc1,0.131114991,-0.103766273,-0.538432074,3.249029047,-2.314805427,13
Anion_0078,O=C([O-])C=Cc1c[nH+]c[n-]1,-0.330108948,-0.145062356,-2.039218153,-0.209963584,-0.622201442,2
Anion_0079,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O,1.99875026,-3.717139648,-0.657919728,-1.002952365,1.991189104,17
Anion_0080,[O-]C(CCCCCCCCCCCCCCCCCC)=O,-5.726367375,15.1362947,-2.005504398,-1.465941804,7.013684434,19
Anion_0081,O=C([O-])c1ccc[nH]1,2.527213306,-2.344296137,-2.721260224,-0.873774613,-1.099628092,20
Anion_0082,C#CCCCC(=O)[O-],3.732600844,1.712063839,-0.95454818,-1.963843552,-1.407986311,1
Anion_0083,O=C([O-])C1=CC=[S+2]=C1,1.162725534,-2.740338407,-2.065286194,-0.048003757,-1.054269671,17
Anion_0084,O=C([O-])Cc1ccc2ccccc2c1,-0.910029308,1.29383963,0.119286199,1.311854916,-0.716992463,4
Anion_0085,O=C([O-])CN1C(=O)c2ccccc2C1=O,-0.864184214,0.943699611,5.512603981,0.372141086,-2.658172021,18
Anion_0086,COC(=O)CCC(=O)[O-],3.960568373,0.536996983,-1.074096742,0.488848114,-1.541514535,20
Anion_0087,O=C([O-])C=Cc1ccc(Cl)cc1,-2.59181725,-0.068058641,-1.608194411,0.547308941,-0.087881555,10
Anion_0088,O=C([O-])c1cc2ccccc2oc1=O,-3.398994252,-1.980554215,0.271550957,0.271235475,-0.92457522,15
Anion_0089,CCC(CC)C(=O)[O-],8.437308635,-0.509032324,0.366775428,-0.043590389,1.35860578,11
Anion_0090,COc1ccc(C=CC(=O)[O-])cc1OC,-3.301421724,1.066472958,-2.078054647,-0.327844014,1.670195911,10
Anion_0091,C=CCCCC(=O)[O-],3.76882021,0.361249957,-1.914721893,1.13419267,-0.795307456,20
Anion_0092,O=C([O-])C1CCC1,7.098634794,0.381423424,-1.520333911,-1.619827081,-0.429950745,11
Anion_0093,O=C([O-])c1[c-]o[c+]c1,2.468486391,-2.430430087,-2.419626784,-0.763716218,-1.170930192,17
Anion_0094,COc1cccc(CC(=O)[O-])c1,1.537667672,0.693222098,-0.493824982,-0.903355783,-1.382906936,5
Anion_0095,O=C([O-])CCCc1ccc2ccc3cccc4ccc1c2c34,-2.767655531,4.035296537,2.143317527,-0.716231477,-3.499895379,16
Anion_0096,CC(=O)CCCC(=O)[O-],3.111622809,-0.912973264,-1.531403846,1.590380922,-1.648530748,9
Anion_0097,O=C([O-])Cc1cccs1,1.89631993,0.026583075,-0.194994907,-0.454452752,-2.230797069,5
Anion_0098,O=C([O-])CCCCc1ccccc1,1.034227168,1.861314349,-2.001571609,1.739075971,0.963795707,6
Anion_0099,O=C([O-])CC1CCCCC1,4.850451952,2.399873455,-1.787482758,-2.68573729,-0.723880253,1
Anion_0100,Cc1ccc(C=CC(=O)[O-])cc1,-2.041251204,0.309827147,-1.881796488,0.387342602,0.057744994,10
Anion_0101,O=C([O-])C[S+]=c1[c-]cccc1,1.572944775,-0.948722813,-1.513556905,1.225018904,0.146423449,9
Anion_0102,CC(C)(C)CC(=O)[O-],5.821029396,-0.163448939,-3.321902565,-1.044189305,-0.234129812,1
Anion_0103,O=C([O-])c1cc2ccccc2o1,-1.880317868,-2.618907858,-1.6891929,-0.225873497,0.734247418,15
Anion_0104,O=C([O-])Cc1ccccc1Cl,1.322567562,-0.305149119,-0.501750181,-0.390276355,-0.81974656,5
Anion_0105,CC(C)CC(=O)C(=O)[O-],0.422147079,-3.997442234,-0.582731435,-0.844561694,-0.334018064,17
Anion_0106,O=C([O-])Cc1cccc(Cl)c1,1.296101874,0.114311974,-0.549810636,0.535625291,-0.626222269,9
Anion_0107,O=C([O-])CC1=CC=[S+2]=C1,1.879082495,-0.251301469,-0.580216548,0.047124897,-1.802189135,20
Anion_0108,COC(=O)C=CC(=O)[O-],-2.095112597,-1.984826675,-0.399827985,-0.889548648,-2.045862432,8
Anion_0109,O=C([O-])C(F)F,5.312834962,-3.861972008,-2.472091569,-2.47523093,-0.207238449,20
Anion_0110,O=C([O-])C(F)(F)C(F)(F)F,3.605956445,-4.903404168,-1.510274225,-2.219480103,0.858303585,17
Anion_0111,N#[N+][N-]CC(=O)[O-],1.832877373,-2.396760539,-0.125238014,-0.836658923,-3.087659666,17
Anion_0112,COc1ccccc1CC(=O)[O-],1.749476393,-0.285086315,-0.977448634,-0.344840688,-0.468795657,20
Anion_0113,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1,-1.87452451,4.348384433,5.792799752,-1.840632225,-1.198633001,18
Anion_0114,O=C([O-])C=Cc1ccco1,-1.10797513,-0.999665437,-1.720223766,0.180865227,-0.856574887,2
Anion_0115,C=C(C(=O)[O-])c1ccccc1,-0.076671684,-1.457115261,0.283441313,-1.754748945,-1.556154505,3
Anion_0116,CC(C)C(=O)C(=O)[O-],1.872891834,-4.784064062,-0.724788498,-1.088233504,0.769101203,17
Anion_0117,COc1ccc(CCC(=O)[O-])cc1,1.855234438,1.661197825,-1.788080502,2.267255083,-0.342819385,9
Anion_0118,O=C([O-])C(=O)Cc1c[nH+]c2cccc[c-]12,-1.358123129,-2.562452207,-1.004935991,0.657975662,2.292610071,15
Anion_0119,O=C([O-])Cc1cccc(Br)c1,0.966727494,0.32272806,-0.741659813,0.613095655,-0.327781672,9
Anion_0120,O=C([O-])Cc1ccc(C(F)(F)F)cc1,0.15574746,1.237990484,-0.199613312,-0.536707056,-1.126173543,5
Anion_0121,CCCC=CC(=O)[O-],1.547387495,-0.718689433,-3.043341004,-0.304956785,-0.135964713,20
Anion_0122,CCOC(=O)C=CC(=O)[O-],-2.932394044,-0.819538355,0.012624172,-1.693415843,-1.96502215,0
Anion_0123,O=C([O-])C=Cc1ccc(F)cc1,-1.927896086,-0.239648109,-1.662880819,0.185339098,-0.314259751,2
Anion_0124,O=C([O-])COc1ccc2ccccc2c1,-1.096963536,0.843860849,-0.331762004,1.45962328,-1.518888412,4
Anion_0125,[O-]C(CCCC/C=C\CCCCCCCCCCC)=O,3.037384579,3.642583666,3.40805331,-0.912038021,0.681820579,14
Anion_0126,COC(=O)CCCCC(=O)[O-],1.895209173,1.926237708,-1.437360881,0.408711637,-0.289235333,9
Anion_0127,O=C([O-])Cc1ccccc1Br,2.213369222,0.750207787,0.353439142,-0.190475199,-1.440462915,5
Anion_0128,O=C([O-])c1cc2ccccc2s1,-2.113888301,-2.600802281,-1.738105561,0.16552089,0.797221583,15
