code_name,SMILES
Anion_0150,O=C([O-])Cc1cccnc1
Anion_0151,CC(=Cc1ccccc1)C(=O)[O-]
Anion_0152,O=C([O-])CC(F)(F)F
Anion_0153,Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C
Anion_0154,O=C([O-])CC(c1ccccc1)c1ccccc1
Anion_0155,O=C([O-])CC1CC1
Anion_0156,CC(C)(C(=O)[O-])c1ccccc1
Anion_0157,CCOC(=O)CCC(=O)[O-]
Anion_0158,COc1ccccc1C=CC(=O)[O-]
Anion_0159,O=Cc1ccc(C(=O)[O-])o1
Anion_0160,O=C([O-])Cc1ccccc1F
Anion_0161,O=C([O-])Cc1cccc(F)c1
Anion_0162,O=C([O-])CCC1CCCCC1
Anion_0163,O=C([O-])CCCCCN1C(=O)C=CC1=O
Anion_0164,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1
Anion_0165,CCCC(=O)C(=O)[O-]
Anion_0166,COc1ccc(C(=O)CCC(=O)[O-])cc1
Anion_0167,CCOCC(=O)[O-]
Anion_0168,C#CCCCCC(=O)[O-]
Anion_0169,COC(=O)CC(=O)[O-]
Anion_0170,O=C([O-])C1c2ccccc2-c2ccccc21
Anion_0171,C[n+]1c(C(=O)[O-])cc2cccc[c-]21
Anion_0172,COc1ccc(C(=O)C(=O)[O-])cc1
Anion_0173,C#CCCCCCCCCC(=O)[O-]
Anion_0174,CCC(C)(C)C(=O)[O-]
Anion_0175,COc1ccc(C#CC(=O)[O-])cc1
Anion_0177,C=CCCCCCCCC(=O)[O-]
Anion_0178,CC(=O)CCCCC(=O)[O-]
Anion_0179,COc1ccc(CCC(=O)[O-])cc1OC
Anion_0180,O=C([O-])C=Cc1ccccc1Cl
Anion_0181,Cc1ccc(C(=O)C(=O)[O-])cc1
Anion_0182,O=C([O-])C(=O)c1ccc(Cl)cc1
Anion_0183,O=C([O-])CC1CCCC1
Anion_0184,COC(=O)CCCC(=O)[O-]
Anion_0185,O=C([O-])C1=[N+]=[NH+]c2ccccc21
Anion_0186,CCC=CCC(=O)[O-]
Anion_0187,O=C([O-])c1cc[nH+][n-]1
Anion_0188,CSCC(=O)[O-]
Anion_0189,Cc1ccc(C(=O)CCC(=O)[O-])cc1
Anion_0190,O=C([O-])CC=Cc1ccccc1
Anion_0191,O=C([O-])c1cc2cc3c4c(c2oc1=O)CCCN4CCC3
Anion_0193,O=C([O-])C=Cc1cccnc1
Anion_0194,CC1(C(=O)[O-])CCCCC1
Anion_0195,O=C([O-])Cc1cc2ccccc2[nH]1
Anion_0196,O=C([O-])C1CCCCCC1
Anion_0197,O=C([O-])CCC(=O)c1ccc(Cl)cc1
Anion_0198,Cc1ccc(OCC(=O)[O-])cc1
Anion_0199,O=C([O-])CCC(=O)OCc1ccccc1
Anion_0200,CC(=O)OCC(=O)[O-]
Anion_0201,C=C(C(=O)[O-])C(F)(F)F
Anion_0202,COC(=O)CCCCCCC(=O)[O-]
Anion_0203,Cc1ccccc1OCC(=O)[O-]
Anion_0204,O=C([O-])Cc1cccc(C(F)(F)F)c1
Anion_0205,CC(C)(C)OC(=O)N1CC(C(=O)[O-])C1
Anion_0206,O=C([O-])C=Cc1cccs1
Anion_0207,COCCC(=O)[O-]
Anion_0208,COC(=O)CCCCCCCC(=O)[O-]
Anion_0209,CC(C)(C)C(=O)C(=O)[O-]
Anion_0210,O=C([O-])C=Cc1ccc(C(F)(F)F)cc1
Anion_0211,O=C([O-])C(=O)c1cccs1
Anion_0212,O=C([O-])c1cc2cc(Cl)ccc2[nH]1
Anion_0213,O=C([O-])Cc1ccccc1I
Anion_0214,O=C([O-])C=CC=Cc1ccccc1
Anion_0215,O=C([O-])COc1ccccc1Cl
Anion_0216,O=C([O-])C(F)(F)S(=O)(=O)F
Anion_0217,O=C([O-])C=Cc1cccc(Cl)c1
Anion_0218,O=C([O-])C=Cc1ccc(C[N+]2=CC=[N+]=C2)cc1
Anion_0219,O=C([O-])CCN1C(=O)C=CC1=O
Anion_0220,O=C([O-])CCc1ccc(Cl)cc1
Anion_0221,O=C([O-])Cc1ccc(Cl)cc1Cl
Anion_0222,O=C([O-])CCN1C(=O)c2ccccc2C1=O
Anion_0223,N#CCCC(=O)[O-]
Anion_0224,CC1=CC=[S+2]=C1C(=O)[O-]
Anion_0225,CCOC(=O)CCCCC(=O)[O-]
Anion_0226,CC1(C(=O)[O-])CC1
Anion_0227,COCCOCCOCC(=O)[O-]
Anion_0228,CCCCCCCC=CC(=O)[O-]
Anion_0229,O=C([O-])c1c[s+]c[n-]1
Anion_0230,COc1ccc(CCCC(=O)[O-])cc1
Anion_0231,O=C([O-])C1=CCCC1
Anion_0232,O=C([O-])CS(=O)(=O)c1ccccc1
Anion_0233,O=C([O-])COc1cccc2ccccc12
Anion_0234,O=C([O-])C(=O)c1ccc(Br)cc1
Anion_0235,O=C([O-])CCCCCc1ccccc1
Anion_0236,CC(C)(C)OC(=O)N1CCC(CC(=O)[O-])CC1
Anion_0237,Cn1cc(C(=O)[O-])c2ccccc21
Anion_0238,O=C([O-])Cc1ccc(S)cc1
Anion_0239,O=C([O-])c1c[nH+]c[n-]1
Anion_0240,O=C([O-])CCCCCS
Anion_0241,COc1cccc(CCC(=O)[O-])c1
Anion_0242,O=C1CC(C(=O)[O-])C1
Anion_0243,O=C([O-])Cc1ccccn1
Anion_0244,O=C([O-])C[S+]=C([S-])c1ccccc1
Anion_0245,CC=CCC(=O)[O-]
Anion_0246,O=C([O-])Cc1ccc(I)cc1
Anion_0247,O=C([O-])C=Cc1c[nH+]c2cccc[c-]12
Anion_0248,O=C([O-])C(=O)c1ccc(F)cc1
Anion_0249,O=C([O-])CC1=CC=[N+]=C[CH-]1
Anion_0250,Cc1ccccc1C=CC(=O)[O-]
Anion_0251,CCCCCC=CC(=O)[O-]
Anion_0252,Cc1ccc(CCC(=O)[O-])cc1
Anion_0253,CC(C)CCCCCCCCCCCCCCC(=O)[O-]
Anion_0254,CCC=C(C)C(=O)[O-]
Anion_0255,O=C([O-])C1CC=CC1
Anion_0256,CC(C(=O)[O-])(c1ccccc1)c1ccccc1
Anion_0257,CC1=CC(=C([O-])[O-])[N-]O1
Anion_0258,COc1ccc(OCC(=O)[O-])cc1
Anion_0259,O=C([O-])CCc1cccnc1
Anion_0260,O=C([O-])CCCN1C(=O)c2ccccc2C1=O
Anion_0261,N#[N+][N-]CCCCC(=O)[O-]
Anion_0262,O=C([O-])CCCC1CCCCC1
Anion_0263,CC(=CC(=O)[O-])c1ccccc1
Anion_0264,O=C([O-])Cc1c[nH+]c[n-]1
Anion_0265,O=C([O-])C1c2ccccc2Oc2ccccc21
Anion_0266,O=C1CCC(C(=O)[O-])CC1
Anion_0267,O=C([O-])CCOc1ccccc1
Anion_0268,COC(=O)CCCCCCCCC(=O)[O-]
Anion_0269,O=C([O-])COc1ccc(F)cc1
Anion_0270,O=C([O-])C1=[N+]=c2ccccc2=[NH+]1
Anion_0271,O=C([O-])CC1=CCCCC1
Anion_0272,C=CCC(C)(C)C(=O)[O-]
Anion_0273,O=C([O-])C=CC(=O)c1ccccc1
Anion_0274,O=C([O-])CCC(=O)c1ccc(F)cc1
Anion_0275,O=C([O-])CCC(=O)c1ccc(Br)cc1
Anion_0276,O=C([O-])CN1CCOCC1
Anion_0277,N#Cc1ccc(CC(=O)[O-])cc1
Anion_0278,O=C([O-])C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
Anion_0279,CC1=CC=CC(=CC=C([O-])[O-])[CH+]1
Anion_0281,Cc1ccc(C(=O)[O-])o1
Anion_0282,O=C1CCC(C(=O)[O-])CO1
Anion_0283,O=C([O-])CCC(F)(F)F
Anion_0284,O=C([O-])CCC1CCCC1
Anion_0285,O=C([O-])C(=O)c1ccco1
Anion_0286,O=C([O-])C1CCN(C(=O)OCc2ccccc2)CC1
Anion_0287,COc1cc(CCC(=O)[O-])cc(OC)c1OC
Anion_0288,O=C([O-])C1=[N+]=CC=[S+]1
Anion_0289,O=C([O-])C(=O)CCc1ccccc1
