code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0064,CCC(=O)C(=O)[O-],2.2908,-4.6441,-2.3533,3.2749,-6.6319,10.3141,-1.0,254.5106,-65.6933,-2.438,-1.2846
Anion_0065,COCC(=O)[O-],5.1575,-4.5122,0.6453,3.1848,-9.8552,8.644,-1.0,234.1863,-67.3505,-2.0674,-1.6173000000000002
Anion_0066,CC=C(C)C(=O)[O-],3.3542,-4.425,-1.0708,3.0574,-7.1946,9.8417,-1.0,265.3686,-69.933,-2.0096,-0.2975
Anion_0067,O=C([O-])Cc1ccc(F)cc1,2.4004,-5.2041,-2.8037,3.3402,-5.0635,9.0077,-1.0,316.661,-60.5958,-2.4008000000000003,0.118099999999999
Anion_0068,O=C([O-])C1CCCC1,5.2974,-4.4467,0.8507,3.0967,-9.8469,11.5732,-1.0,274.6904,-68.6369,-1.8489,-0.0735
Anion_0069,CCOC(=O)CC(=O)[O-],3.5927,-5.4149,-1.8223,3.9504,-6.5807,10.3103,-1.0,294.762,-64.4582,-2.4849,-1.3104999999999989
Anion_0070,O=C([O-])Cc1ccc(Br)cc1,2.4404,-5.4907,-3.0503,3.4655,-4.4743,7.193,-1.0,338.4596,-58.6496,-1.9052,0.741499999999999
Anion_0071,CC(C)CCC(=O)[O-],5.2677,-4.3388,0.9289,3.1247,-9.943,13.1295,-1.0,292.8303,-69.8784,-1.9647,0.172499999999999
Anion_0072,CC(C)(C)OC(=O)N1CCC(C(=O)[O-])CC1,2.8534,-4.883,-2.0296,3.3128,-6.2975,18.76,-1.0,426.8873,-68.8707,-2.6617,0.383399999999999
Anion_0073,COc1ccc(CC(=O)[O-])cc1OC,2.6477,-5.0668,-2.4191000000000003,3.0632,-5.2376,12.6497,-1.0,386.5547,-65.8043,-2.3721,-0.0038
Anion_0074,O=C([O-])CCc1c[nH+]c2cccc[c-]12,1.1398,-4.5705,-3.4308,3.0148,-4.1955,16.4089,-1.0,373.6025,-72.0486,-2.9687,0.055299999999999
Anion_0075,Cc1ccc(CC(=O)[O-])cc1,2.5937,-4.8995,-2.3058,2.9831000000000003,-5.4076,14.065,-1.0,334.8984,-66.3264,-1.9578,0.28742
Anion_0076,O=C([O-])c1c[nH+]c2cccc[c-]12,1.8241,-4.6417,-2.8176,3.1123,-4.8078,14.843,-1.0,320.619,-76.3276,-3.1386,-0.2637
Anion_0077,O=C([O-])CCC(=O)c1ccccc1,1.0322,-5.3674,-4.3352,3.5812,-3.1834,11.9715,-1.0,356.3274,-64.6123,-2.406,0.399399999999999
