code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
Anion_0159,O=Cc1ccc(C(=O)[O-])o1,1.1241,-5.7739,-4.6498,4.2456,-3.292,8.144,-1.0,293.6958,-59.444,-2.5472,-5.2119,82.8488,0.4726,7.5376,0.1327,0.4768,0.0151,6.76,10.0767,0.4023,55.2559,-0.5444
Anion_0160,O=C([O-])Cc1ccccc1F,2.5097,-5.1606,-2.6509,3.31,-5.1226,10.996,-1.0,312.9477,-65.0064,-2.3506,-3.9058,99.452,0.222,8.4326,0.1186,-0.9063,0.0487,29.1886,8.9828,-1.1839,80.3375,0.118099999999999
Anion_0161,O=C([O-])Cc1cccc(F)c1,2.5674,-5.2422,-2.6748000000000003,3.3848000000000003,-5.0975,9.577,-1.0,316.5374,-61.1589,-2.3722,-3.9585,99.3784,0.2111,8.4823,0.1179,-0.8564,0.0432,26.5393,9.0622,-1.1332,80.5574,0.118099999999999
Anion_0162,O=C([O-])CCC1CCCCC1,5.2741,-4.383,0.8912,3.1246,-9.7939,16.1473,-1.0,345.6536,-70.1837,-1.9873,-1.7459,113.1993,0.0106,12.9185,0.0774,-3.3347,0.4304,6029.2733,8.7815,-5.7474,132.5275,1.096799999999999
Anion_0163,O=C([O-])CCCCCN1C(=O)C=CC1=O,2.1218,-6.2498000000000005,-4.128,4.1542,-3.6038,6.5217,-1.0,369.4002,-60.9988,-2.5178000000000003,-5.1888,136.5162,0.3172,7.758,0.1289,0.2752,0.0051,7.9095,8.8968,0.4578,66.7119,-0.7783000000000001
Anion_0164,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1,2.6638,-5.5457,-2.8819,3.0373,-3.923,8.2758,-1.0,486.1963,-59.6236,-1.3712,-4.2139,224.9783,0.3226,6.9603,0.1437,-0.4429,0.0141,20.6862,7.4273,1.8691,73.1142,2.770900000000001
Anion_0165,CCCC(=O)C(=O)[O-],2.2458,-4.6469000000000005,-2.4011,3.2477,-6.5563,12.2346,-1.0,279.6053,-66.3883,-2.4139,-3.524,72.9078,0.2342,9.804,0.102,-1.6543,0.1397,77.7731,9.6454,-4.5732,67.0249,-0.8945000000000001
Anion_0166,COc1ccc(C(=O)CCC(=O)[O-])cc1,1.0953,-5.3255,-4.2303,3.5296000000000003,-3.2363,14.8769,-1.0,399.7846,-66.2291,-2.7619,-4.7779,140.1835,0.4841,6.7658000000000005,0.1478,0.1466,0.0016,10.0131,8.5418,1.0221,56.4885,0.407999999999999
Anion_0167,CCOCC(=O)[O-],5.0069,-4.625,0.3819,3.3173,-9.3455,9.0129,-1.0,257.5622,-67.4899,-2.0009,-2.1216,64.8173,0.014,12.6628,0.079,-3.014,0.3588,5045.9862,9.7456,-7.0317,124.7726,-1.2272
Anion_0168,C#CCCCCC(=O)[O-],3.3134,-4.478,-1.1646,3.1887,-7.3022,12.9174,-1.0,314.2482,-68.4605,-2.2044,-2.8213,89.4242,0.086,10.4909,0.0954,-2.0567,0.202,172.0406,9.0296,-3.458,120.6749,-0.0701
